Produits,Ventes totales($),Items totals,
"['Diapers', 'Pickles', 'Shampoo']",5.00,2,
"['Paper Towels', 'Trash Bags', 'Laundry Detergent']",5.00,1,
"['Vacuum Cleaner', 'Cleaning Spray', 'Sponges']",5.00,1,
"['Pasta', 'Cleaning Rags', 'Potatoes', 'Vacuum Cleaner']",5.00,3,
"['Chicken', 'Air Freshener', 'Mustard', 'Milk']",5.00,1,
"['Vinegar', 'Carrots', 'Cereal Bars', 'Soap']",5.00,9,
"['Shrimp', 'Cereal Bars', 'Vinegar', 'Banana', 'Dishware']",5.00,9,
"['Shampoo', 'Chips', 'Trash Bags']",5.00,6,
"['Shrimp', 'Salmon', 'Mop', 'Mayonnaise', 'Cereal']",5.00,3,
"['Hair Gel', 'Canned Soup', 'Paper Towels', 'Tomatoes', 'Dishware']",5.00,1,
